composition_string,Mo,Nb,Ta,W,run_number,calculator,model,diffusing_element,forward_barrier_eV,backward_barrier_eV,E_initial_eV,E_final_eV,initial_relax_time_s,final_relax_time_s,neb_time_s,total_time_s,structure_folder,timestamp
Mo49Nb22Ta0W28,0.48922224354881383,0.22486101052637505,0.0013766325697107768,0.2845401133551003,1,CHGNet,CHGNet-pretrained,Mo,0.536987,0.590942,-1425.222046,-1425.276001,1.89,1.44,5.00,8.30,MoNbTaW/Mo49Nb22Ta0W28/run_1,2025-11-03 23:20:17
Mo31Nb65Ta0W4,0.3118390058444995,0.6467260365146159,0.003387256474841748,0.03804770116604293,1,CHGNet,CHGNet-pretrained,Nb,0.344238,0.307861,-1321.485718,-1321.449341,1.30,1.64,1.76,5.13,MoNbTaW/Mo31Nb65Ta0W4/run_1,2025-11-03 23:20:23
Mo84Nb1Ta5W10,0.8355095881215611,0.010052413724332035,0.05155659164924147,0.10288140650486531,1,CHGNet,CHGNet-pretrained,Mo,0.570068,0.550049,-1396.313965,-1396.293945,0.86,0.31,1.06,2.65,MoNbTaW/Mo84Nb1Ta5W10/run_1,2025-11-03 23:20:25
Mo23Nb19Ta53W5,0.23096265508603064,0.19173973227438662,0.5280901147123089,0.0492074979272738,1,CHGNet,CHGNet-pretrained,Ta,0.320435,0.534668,-1437.323120,-1437.537354,1.85,1.15,1.00,4.43,MoNbTaW/Mo23Nb19Ta53W5/run_1,2025-11-03 23:20:30
Mo5Nb72Ta3W20,0.051306582053418086,0.7239221822595145,0.025243072396477904,0.19952816329058948,1,CHGNet,CHGNet-pretrained,Nb,0.776978,0.575562,-1351.314819,-1351.113525,1.21,1.13,2.05,4.83,MoNbTaW/Mo5Nb72Ta3W20/run_1,2025-11-03 23:20:35
Mo4Nb87Ta5W4,0.03503005208568253,0.8722307198499237,0.053198485747173015,0.039540742317220615,1,CHGNet,CHGNet-pretrained,Nb,0.401489,0.238892,-1289.689453,-1289.526855,1.05,1.12,1.71,4.34,MoNbTaW/Mo4Nb87Ta5W4/run_1,2025-11-03 23:20:39
Mo1Nb6Ta24W69,0.009600699929053205,0.05822612402941832,0.23990167698825665,0.6922714990532718,1,CHGNet,CHGNet-pretrained,Ta,0.695679,0.361328,-1586.084473,-1585.750122,1.05,0.91,0.55,3.03,MoNbTaW/Mo1Nb6Ta24W69/run_1,2025-11-03 23:20:42
Mo20Nb4Ta35W41,0.2009899202920012,0.035895063684839884,0.3522912952813181,0.41082372074184076,1,CHGNet,CHGNet-pretrained,Mo,0.574707,0.510620,-1532.174438,-1532.110352,1.03,1.03,1.82,4.44,MoNbTaW/Mo20Nb4Ta35W41/run_1,2025-11-03 23:20:46
Mo56Nb4Ta13W27,0.5603321908353841,0.04280536340751845,0.13115868585887347,0.265703759898224,1,CHGNet,CHGNet-pretrained,Mo,0.687988,0.559082,-1454.791504,-1454.662476,1.02,0.96,3.00,5.42,MoNbTaW/Mo56Nb4Ta13W27/run_1,2025-11-03 23:20:52
Mo19Nb16Ta2W62,0.1931654026173491,0.1640376741154283,0.023874561893130856,0.6189223613740918,1,CHGNet,CHGNet-pretrained,Nb,0.470947,0.482056,-1517.807129,-1517.818237,1.68,0.91,1.02,4.04,MoNbTaW/Mo19Nb16Ta2W62/run_1,2025-11-03 23:20:56
Mo10Nb12Ta37W41,0.096405117985954,0.12427803540262694,0.3718882619072557,0.4074285847041635,1,CHGNet,CHGNet-pretrained,Ta,0.431152,0.379395,-1526.420654,-1526.368774,1.98,2.38,2.90,7.76,MoNbTaW/Mo10Nb12Ta37W41/run_1,2025-11-03 23:21:04
Mo25Nb7Ta4W64,0.24903622120469562,0.07146570765261734,0.0443501172744622,0.6351479538682248,1,CHGNet,CHGNet-pretrained,W,0.823364,0.660278,-1534.120239,-1533.957153,0.90,0.74,2.10,4.13,MoNbTaW/Mo25Nb7Ta4W64/run_1,2025-11-03 23:21:08
Mo35Nb7Ta55W3,0.3487726531237903,0.06557864618299726,0.5533450191459622,0.03230368154725009,1,CHGNet,CHGNet-pretrained,Ta,0.305664,0.640015,-1458.822876,-1459.157227,1.77,1.58,2.44,4.97,MoNbTaW/Mo35Nb7Ta55W3/run_1,2025-11-03 23:21:13
Mo45Nb3Ta28W23,0.4536836981599523,0.030095552254732073,0.2836364183645979,0.23258433122071773,1,CHGNet,CHGNet-pretrained,Mo,0.458008,0.346191,-1476.267334,-1476.155518,0.92,0.86,1.08,3.34,MoNbTaW/Mo45Nb3Ta28W23/run_1,2025-11-03 23:21:16
Mo16Nb11Ta39W33,0.1561360529596329,0.114826634136517,0.39471324346997555,0.3343240694338747,1,CHGNet,CHGNet-pretrained,Ta,0.771118,0.044189,-1510.306763,-1509.579834,1.95,2.00,1.90,6.39,MoNbTaW/Mo16Nb11Ta39W33/run_1,2025-11-03 23:21:23
Mo55Nb17Ta6W22,0.5524741314722429,0.16533572942152233,0.05776107952623273,0.22442905958000217,1,CHGNet,CHGNet-pretrained,Mo,0.533813,0.567749,-1422.570190,-1422.604126,0.80,0.95,1.07,3.26,MoNbTaW/Mo55Nb17Ta6W22/run_1,2025-11-03 23:21:26
Mo42Nb15Ta26W18,0.41566341439525495,0.1481354351562453,0.2594149296160847,0.17678622083241505,1,CHGNet,CHGNet-pretrained,Mo,0.643677,0.541504,-1448.827759,-1448.725586,1.78,1.60,35.12,38.99,MoNbTaW/Mo42Nb15Ta26W18/run_1,2025-11-03 23:22:05
Mo49Nb31Ta19W1,0.48881144734062837,0.30844977837286724,0.19345660903732317,0.009282165249181107,1,CHGNet,CHGNet-pretrained,Mo,0.384277,0.365479,-1382.110596,-1382.091919,1.98,1.82,2.48,6.81,MoNbTaW/Mo49Nb31Ta19W1/run_1,2025-11-03 23:22:12
Mo0Nb69Ta9W22,0.0038521692674096343,0.6855911863526835,0.08752208737994459,0.22303455699996236,1,CHGNet,CHGNet-pretrained,W,0.890503,0.819336,-1370.256470,-1370.185425,1.56,1.57,1.45,5.05,MoNbTaW/Mo0Nb69Ta9W22/run_1,2025-11-03 23:22:17
Mo46Nb0Ta4W49,0.46326518358785784,0.0021020278891149,0.04457313295778714,0.49005965556524006,1,CHGNet,CHGNet-pretrained,Mo,0.427734,0.554077,-1496.888916,-1497.015259,0.43,0.87,4.58,6.32,MoNbTaW/Mo46Nb0Ta4W49/run_1,2025-11-03 23:22:23
Mo23Nb6Ta58W13,0.2262951130781403,0.05952456564665891,0.5807993452075384,0.13338097606766242,1,CHGNet,CHGNet-pretrained,W,0.846069,0.732788,-1487.546265,-1487.432983,0.90,1.53,1.55,4.46,MoNbTaW/Mo23Nb6Ta58W13/run_1,2025-11-03 23:22:27
Mo36Nb1Ta8W54,0.36031890820498824,0.013069146532006195,0.08332253399580264,0.543289411267203,1,CHGNet,CHGNet-pretrained,W,0.616089,0.747314,-1517.758545,-1517.889771,1.10,0.81,1.21,3.62,MoNbTaW/Mo36Nb1Ta8W54/run_1,2025-11-03 23:22:31
Mo68Nb2Ta23W6,0.6829172310224697,0.022454343094002703,0.2320492006590742,0.0625792252244534,1,CHGNet,CHGNet-pretrained,Mo,0.411499,0.376099,-1423.954468,-1423.919067,0.97,1.85,1.62,4.88,MoNbTaW/Mo68Nb2Ta23W6/run_1,2025-11-03 23:22:36
Mo9Nb73Ta14W4,0.09134552680172621,0.7271447928208313,0.14421173754569852,0.0372979428317441,1,CHGNet,CHGNet-pretrained,W,0.562866,0.693481,-1320.133301,-1320.263916,1.20,1.95,2.38,5.98,MoNbTaW/Mo9Nb73Ta14W4/run_1,2025-11-03 23:22:42
Mo16Nb28Ta44W11,0.16229228019570063,0.28026380867051465,0.4448264439732677,0.11261746716051686,1,CHGNet,CHGNet-pretrained,Ta,0.541504,0.404541,-1433.438599,-1433.301636,1.12,1.15,1.09,3.82,MoNbTaW/Mo16Nb28Ta44W11/run_1,2025-11-03 23:22:46
Mo2Nb17Ta74W7,0.018447742048388106,0.167406144445,0.7391523565004892,0.07499375700612258,1,CHGNet,CHGNet-pretrained,Ta,0.303467,0.395020,-1463.161621,-1463.253174,1.80,1.49,1.74,5.45,MoNbTaW/Mo2Nb17Ta74W7/run_1,2025-11-03 23:22:51
Mo49Nb3Ta22W26,0.49218418130318725,0.02655439988026935,0.2244342230819253,0.25682719573461793,1,CHGNet,CHGNet-pretrained,Mo,0.476196,0.570923,-1473.856079,-1473.950684,0.97,1.65,2.79,5.82,MoNbTaW/Mo49Nb3Ta22W26/run_1,2025-11-03 23:22:57
Mo22Nb24Ta52W3,0.2158766992677285,0.23716725323898163,0.5215298165809298,0.025426230912360192,1,CHGNet,CHGNet-pretrained,Nb,0.346558,0.360107,-1425.626099,-1425.639648,1.72,1.77,2.13,6.08,MoNbTaW/Mo22Nb24Ta52W3/run_1,2025-11-03 23:23:03
Mo18Nb23Ta25W34,0.18141082082736126,0.22915792781805563,0.24676852642849634,0.3426627249260868,1,CHGNet,CHGNet-pretrained,W,0.717041,0.548828,-1481.568359,-1481.400146,1.74,2.21,2.84,7.24,MoNbTaW/Mo18Nb23Ta25W34/run_1,2025-11-03 23:23:10
Mo19Nb14Ta33W34,0.18651014272769761,0.1388642581331689,0.33292701899244764,0.3416985801466858,1,CHGNet,CHGNet-pretrained,Ta,0.812134,0.224121,-1504.061523,-1503.473511,2.16,2.31,1.53,6.45,MoNbTaW/Mo19Nb14Ta33W34/run_1,2025-11-03 23:23:17
Mo43Nb8Ta29W20,0.4341684457819191,0.07552368111838528,0.29438552452604494,0.1959223485736508,1,CHGNet,CHGNet-pretrained,Ta,0.298706,0.286011,-1463.000000,-1462.987183,2.00,1.52,1.95,6.00,MoNbTaW/Mo43Nb8Ta29W20/run_1,2025-11-03 23:23:23
Mo16Nb41Ta9W33,0.1639355881454084,0.41487362207613654,0.08686485310417534,0.33432593667427973,1,CHGNet,CHGNet-pretrained,Mo,0.416626,0.612671,-1434.356689,-1434.552734,0.84,1.12,1.85,4.29,MoNbTaW/Mo16Nb41Ta9W33/run_1,2025-11-03 23:23:27
Mo40Nb20Ta35W5,0.39817677072459556,0.20392898193790476,0.3469510129266659,0.05094323441083374,1,CHGNet,CHGNet-pretrained,Nb,0.385376,0.058350,-1423.800781,-1423.473755,1.64,1.96,2.08,6.25,MoNbTaW/Mo40Nb20Ta35W5/run_1,2025-11-03 23:23:33
Mo7Nb8Ta62W23,0.07106796844872103,0.07985185089460957,0.6153511104803877,0.2337290701762818,1,CHGNet,CHGNet-pretrained,Ta,0.168457,0.213867,-1511.137939,-1511.183350,2.44,1.81,1.99,6.69,MoNbTaW/Mo7Nb8Ta62W23/run_1,2025-11-03 23:23:40
Mo62Nb26Ta0W12,0.6208377398095161,0.26265024522024,0.001015936745522092,0.11549607822472195,1,CHGNet,CHGNet-pretrained,Mo,0.557129,0.644775,-1380.220215,-1380.307739,1.11,1.05,2.37,4.99,MoNbTaW/Mo62Nb26Ta0W12/run_1,2025-11-03 23:23:45
Mo21Nb7Ta33W38,0.21265102586762238,0.07400225348355635,0.3324997049126995,0.38084701573612184,1,CHGNet,CHGNet-pretrained,Ta,0.467896,0.398438,-1522.254883,-1522.185425,1.27,1.56,0.50,3.74,MoNbTaW/Mo21Nb7Ta33W38/run_1,2025-11-03 23:23:49
Mo68Nb0Ta14W18,0.6784879716255587,0.004149828565791981,0.1353341188700341,0.18202808093861508,1,CHGNet,CHGNet-pretrained,W,0.838135,0.719482,-1434.041626,-1433.922974,1.06,0.87,2.33,4.71,MoNbTaW/Mo68Nb0Ta14W18/run_1,2025-11-03 23:23:54
Mo52Nb12Ta4W33,0.5155083334516954,0.11958175788711184,0.03659553501737918,0.3283143736438136,1,CHGNet,CHGNet-pretrained,Mo,0.706421,0.540894,-1450.579346,-1450.413940,0.83,0.80,1.19,3.26,MoNbTaW/Mo52Nb12Ta4W33/run_1,2025-11-03 23:23:57
Mo39Nb9Ta36W16,0.39232038550140574,0.09257714787848355,0.35722326895270906,0.15787919766740174,1,CHGNet,CHGNet-pretrained,Ta,0.244751,0.109009,-1465.164429,-1465.028687,1.28,1.62,2.83,6.25,MoNbTaW/Mo39Nb9Ta36W16/run_1,2025-11-03 23:24:03
